,tipo_registro,data_pregao,cod_bdi,cod_negociacao,tipo_mercado,nome_empresa,especificacao_papel,prazo_dias_merc_termo,moeda_referencia,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo_negocio,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_papeis_negociados,volume_total_negociado,preco_exercicio,indicador_correcao_precos,data_vencimento,fator_cotacao,preco_exercicio_pontos,codigo_isin,num_distribuicao_papel
138,1,03/01/2022,2.0,RENT3,10,LOCALIZA,ON      NM,,R$,52.97,53.46,50.48,51.05,50.89,50.86,50.89,38255.0,7249500.0,370100988.0,0.0,0.0,99991231.0,1.0,0.0,BRRENTACNOR4,185.0
419,1,03/01/2022,2.0,CMIG4,10,CEMIG,PN  EJ  N1,,R$,13.18,13.33,12.75,12.91,12.88,12.87,12.88,25228.0,7459700.0,96346317.0,0.0,0.0,99991231.0,1.0,0.0,BRCMIGACNPR3,229.0
427,1,03/01/2022,2.0,CMIN3,10,CSNMINERACAO,ON  EJ  N2,,R$,6.83,7.16,6.59,6.89,7.05,7.04,7.05,48288.0,13281500.0,91571709.0,0.0,0.0,99991231.0,1.0,0.0,BRCMINACNOR2,103.0
485,1,03/02/2022,2.0,TAEE11,10,TAESA,UNT     N2,,R$,37.63,38.07,37.62,37.91,37.88,37.88,37.89,8020.0,1862500.0,70616520.0,0.0,0.0,99991231.0,1.0,0.0,BRTAEECDAM10,137.0
806,1,03/02/2022,2.0,CSAN3,10,COSAN,ON      NM,,R$,23.63,23.91,23.44,23.6,23.64,23.62,23.68,13403.0,3259000.0,76942648.0,0.0,0.0,99991231.0,1.0,0.0,BRCSANACNOR6,122.0
1138,1,03/01/2022,2.0,TAEE11,10,TAESA,UNT     N2,,R$,36.37,36.76,36.09,36.39,36.3,36.29,36.3,14710.0,3448400.0,125499829.0,0.0,0.0,99991231.0,1.0,0.0,BRTAEECDAM10,137.0
1202,1,03/02/2022,2.0,BRAP4,10,BRADESPAR,PN      N1,,R$,28.22,28.28,27.81,28.12,28.15,28.15,28.18,10873.0,2605800.0,73298781.0,0.0,0.0,99991231.0,1.0,0.0,BRBRAPACNPR2,142.0
1507,1,03/01/2022,2.0,CSAN3,10,COSAN,ON      NM,,R$,21.77,22.18,21.06,21.39,21.17,21.17,21.18,29322.0,8988900.0,192323452.0,0.0,0.0,99991231.0,1.0,0.0,BRCSANACNOR6,122.0
1774,1,03/02/2022,2.0,WEGE3,10,WEG,ON      NM,,R$,31.82,32.11,30.87,31.19,30.95,30.95,30.97,16693.0,5506300.0,171778644.0,0.0,0.0,99991231.0,1.0,0.0,BRWEGEACNOR0,208.0
2002,1,03/01/2022,2.0,BRAP4,10,BRADESPAR,PN      N1,,R$,25.18,25.54,24.63,24.91,24.65,24.64,24.67,18298.0,5283300.0,131626563.0,0.0,0.0,99991231.0,1.0,0.0,BRBRAPACNPR2,142.0
