,codigoNegocio,year,quarter,receitaLiquida
0,BRAP4,01/04/2023,2,0.0
1,BRAP4,01/01/2023,1,0.0
2,BRAP4,01/10/2022,4,0.0
3,BRAP4,01/07/2022,3,0.0
4,BRAP4,01/04/2022,2,0.0
5,BRAP4,01/01/2022,1,0.0
6,BRAP4,01/10/2021,4,0.0
7,BRAP4,01/07/2021,3,0.0
8,BRAP4,01/04/2021,2,0.0
9,BRAP4,01/01/2021,1,0.0
10,BRAP4,01/10/2020,4,0.0
11,BRAP4,01/07/2020,3,0.0
12,BRAP4,01/04/2020,2,0.0
13,BRAP4,01/01/2020,1,0.0
14,BRAP4,01/10/2019,4,0.0
15,BRAP4,01/07/2019,3,0.0
16,BRAP4,01/04/2019,2,0.0
17,BRAP4,01/01/2019,1,0.0
18,BRAP4,01/10/2018,4,0.0
19,BRAP4,01/07/2018,3,0.0
