,codigoNegocio,year,quarter,receitaLiquida
0,CMIN3,01/04/2023,2,4014012.0
1,CMIN3,01/01/2023,1,4514331.0
2,CMIN3,01/10/2022,4,3978015.0
3,CMIN3,01/07/2022,3,2723538.0
4,CMIN3,01/04/2022,2,2679299.0
5,CMIN3,01/01/2022,1,3891712.0
6,CMIN3,01/10/2021,4,2650387.0
7,CMIN3,01/07/2021,3,3057586.0
8,CMIN3,01/04/2021,2,7693327.0
9,CMIN3,01/01/2021,1,5638570.0
10,CMIN3,01/10/2020,4,4852008.0
11,CMIN3,01/07/2020,3,4238828.0
12,CMIN3,01/04/2020,2,2877230.0
13,CMIN3,01/01/2020,1,1821465.0
14,CMIN3,01/10/2019,4,3176678.0
15,CMIN3,01/07/2019,3,2544597.0
16,CMIN3,01/04/2019,2,3291150.0
17,CMIN3,01/01/2019,1,2443521.0
