,codigoNegocio,year,quarter,receitaLiquida
0,CSAN3,01/04/2023,2,10010456.0
1,CSAN3,01/01/2023,1,9631327.0
2,CSAN3,01/10/2022,4,10754093.0
3,CSAN3,01/07/2022,3,11507301.0
4,CSAN3,01/04/2022,2,9571087.0
5,CSAN3,01/01/2022,1,7904887.0
6,CSAN3,01/10/2021,4,6742771.0
7,CSAN3,01/07/2021,3,6890471.0
8,CSAN3,01/04/2021,2,6558109.0
9,CSAN3,01/01/2021,1,4715799.0
10,CSAN3,01/10/2020,4,3930733.0
11,CSAN3,01/07/2020,3,3714923.0
12,CSAN3,01/04/2020,2,2356619.0
13,CSAN3,01/01/2020,1,3506512.0
14,CSAN3,01/10/2019,4,3436227.0
15,CSAN3,01/07/2019,3,3686247.0
16,CSAN3,01/04/2019,2,3343275.0
17,CSAN3,01/01/2019,1,3094696.0
18,CSAN3,01/10/2018,4,2810848.0
19,CSAN3,01/07/2018,3,2912905.0
