,codigoNegocio,year,quarter,receitaLiquida
0,RENT3,01/04/2023,2,6846159.0
1,RENT3,01/01/2023,1,6825668.0
2,RENT3,01/10/2022,4,5885539.0
3,RENT3,01/07/2022,3,6136946.0
4,RENT3,01/04/2022,2,3049431.0
5,RENT3,01/01/2022,1,2711652.0
6,RENT3,01/10/2021,4,2636255.0
7,RENT3,01/07/2021,3,2772251.0
8,RENT3,01/04/2021,2,2695708.0
9,RENT3,01/01/2021,1,2797122.0
10,RENT3,01/10/2020,4,2875332.0
11,RENT3,01/07/2020,3,3067549.0
12,RENT3,01/04/2020,2,1570102.0
13,RENT3,01/01/2020,1,2794632.0
14,RENT3,01/10/2019,4,2695467.0
15,RENT3,01/07/2019,3,2671176.0
16,RENT3,01/04/2019,2,2381296.0
17,RENT3,01/01/2019,1,2447698.0
18,RENT3,01/10/2018,4,2259740.0
19,RENT3,01/07/2018,3,2073105.0
