,codigoNegocio,year,quarter,receitaLiquida
0,SLCE3,01/04/2023,2,2130192.0
1,SLCE3,01/01/2023,1,3074186.0
2,SLCE3,01/10/2022,4,2322160.0
3,SLCE3,01/07/2022,3,1383163.0
4,SLCE3,01/04/2022,2,2388582.0
5,SLCE3,01/01/2022,1,3495805.0
6,SLCE3,01/10/2021,4,1927600.0
7,SLCE3,01/07/2021,3,1143493.0
8,SLCE3,01/04/2021,2,1687896.0
9,SLCE3,01/01/2021,1,1565380.0
10,SLCE3,01/10/2020,4,1211099.0
11,SLCE3,01/07/2020,3,751267.0
12,SLCE3,01/04/2020,2,983909.0
13,SLCE3,01/01/2020,1,926806.0
14,SLCE3,01/10/2019,4,905419.0
15,SLCE3,01/07/2019,3,563106.0
16,SLCE3,01/04/2019,2,806801.0
17,SLCE3,01/01/2019,1,765330.0
18,SLCE3,01/10/2018,4,870513.0
19,SLCE3,01/07/2018,3,537585.0
