,codigoNegocio,year,quarter,receitaLiquida
0,TAEE11,01/04/2023,2,678504.0
1,TAEE11,01/01/2023,1,692915.0
2,TAEE11,01/10/2022,4,509356.0
3,TAEE11,01/07/2022,3,463793.0
4,TAEE11,01/04/2022,2,847721.0
5,TAEE11,01/01/2022,1,795647.0
6,TAEE11,01/10/2021,4,716958.0
7,TAEE11,01/07/2021,3,942321.0
8,TAEE11,01/04/2021,2,904321.0
9,TAEE11,01/01/2021,1,908449.0
10,TAEE11,01/10/2020,4,1173994.0
11,TAEE11,01/07/2020,3,941221.0
12,TAEE11,01/04/2020,2,755654.0
13,TAEE11,01/01/2020,1,690417.0
14,TAEE11,01/10/2019,4,427458.0
15,TAEE11,01/07/2019,3,597753.0
16,TAEE11,01/04/2019,2,427498.0
17,TAEE11,01/01/2019,1,342250.0
18,TAEE11,01/10/2018,4,495769.0
19,TAEE11,01/07/2018,3,431238.0
