,codigoNegocio,year,quarter,receitaLiquida
0,VIIA3,01/04/2023,2,7489000.0
1,VIIA3,01/01/2023,1,7354000.0
2,VIIA3,01/10/2022,4,8845000.0
3,VIIA3,01/07/2022,3,7008000.0
4,VIIA3,01/04/2022,2,7646000.0
5,VIIA3,01/01/2022,1,7399000.0
6,VIIA3,01/10/2021,4,8127000.0
7,VIIA3,01/07/2021,3,7349000.0
8,VIIA3,01/04/2021,2,7876000.0
9,VIIA3,01/01/2021,1,7547000.0
10,VIIA3,01/10/2020,4,9470000.0
11,VIIA3,01/07/2020,3,7812000.0
12,VIIA3,01/04/2020,2,5280000.0
13,VIIA3,01/01/2020,1,6339000.0
14,VIIA3,01/10/2019,4,7613000.0
15,VIIA3,01/07/2019,3,5688000.0
16,VIIA3,01/04/2019,2,6024000.0
17,VIIA3,01/01/2019,1,6330000.0
18,VIIA3,01/10/2018,4,7519000.0
19,VIIA3,01/07/2018,3,6367000.0
