,codigoNegocio,year,quarter,receitaLiquida
0,WEGE3,01/01/2023,1,7696157.0
1,WEGE3,01/10/2022,4,7979637.0
2,WEGE3,01/07/2022,3,7911192.0
3,WEGE3,01/04/2022,2,7185787.0
4,WEGE3,01/01/2022,1,6828106.0
5,WEGE3,01/10/2021,4,6540010.0
6,WEGE3,01/07/2021,3,6198243.0
7,WEGE3,01/04/2021,2,5748206.0
8,WEGE3,01/01/2021,1,5076879.0
9,WEGE3,01/10/2020,4,4889918.0
10,WEGE3,01/07/2020,3,4801260.0
11,WEGE3,01/04/2020,2,4063943.0
12,WEGE3,01/01/2020,1,3714436.0
13,WEGE3,01/10/2019,4,3778846.0
14,WEGE3,01/07/2019,3,3349604.0
15,WEGE3,01/04/2019,2,3286605.0
16,WEGE3,01/01/2019,1,2932379.0
17,WEGE3,01/10/2018,4,3124657.0
18,WEGE3,01/07/2018,3,3237309.0
19,WEGE3,01/04/2018,2,3056648.0
